Förderkennzeichen (0010),Schlagwort1,Schlagwort2,Schlagwort3,Schlagwort4,Schlagwort5,Schlagwort6,Schlagwort
03EWR010E,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010F,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010G,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010I,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010J,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR020A,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020B,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020D,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020E,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020F,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020G,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020H,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020I,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020J,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020K,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020L,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020M,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020N,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020O,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020P,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020Q,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
