name;resources;shortDescription;applicationArea;provider;usage;lifeCyclePhase;targetGroup;userInterface;userInterfaceNotes;programmingLanguages;frameworksLibraries;databaseSystem;classification;focus;scale;lastUpdate;accessibility;licence;licenseNotes;furtherInformation;alternatives;specificApplication;released;releasedPlanned;yearOfRelease;developmentState;technicalStandardsNorms;technicalStandardsProtocols;image
SIMULINK;https://de.mathworks.com/products/simulink.html;Simulink ist eine Software zur Modellierung von technischen, physikalischen, finanzmathematischen und anderen Systemen. Simulink ist ein Zusatzprodukt zu MATLAB und benötigt dieses zum Ausführen.;Forschung/Lehre, Industrie, Dienstleistung;MathWorks;Simulation, Monitoring, Optimierung, Planung;Planung, Umsetzung, Betrieb;Baufachleute, Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude;laufend;kostenpflichtig;;;Die Modellierung erfolgt mithilfe grafischer Blöcke. Der Datefluss zwischen den Blöcken wird über gerichtete Verbindungslinien modelliert.;Scilab;['03EN3018A','03ET1299'];1;;1984;5;;;Matlab_Logo_Dq9E7WR.png
sisKMR;https://siskmr.com/;"sisKMR dient zur Berechnung von Kunststoffmantelrohrleitungen und beliebigen freigelagerten, räumlichen Rohrsystemen in der Fernwärme,
der Industrie und im Anlagenbau.";Forschung/Lehre, Industrie;GEF Ingenieur AG;Simulation, Planung;Planung;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente. Anlage;2022-07-14;kostenpflichtig;;;Optimiert für die Berechnung von Vorwärme, Kaltverlegung, Vorspannung und erweiterte Lastfälle.;;['03EN3022'];1;;;5;;;siskmr_logo.png
T*SOL;https://valentin-software.com/produkte/tsol/;T*SOL ist ein dynamisches Simulationsprogramm zur Auslegung, Optimierung und Berechnung von solarthermischen Anlagen.;Forschung/Lehre, Industrie, Dienstleistung;Valentin Software GmbH;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Anlage;2023-07-05;kostenpflichtig;;Es steht ene kostenlose 30-tägige Testversion auf der Herstellerseite bereit.;;;['03ET1605'];1;;;5;;;tsol_logo.png
Influx Telegraf;https://www.influxdata.com/time-series-platform/telegraf/;Telegraf ist ein Plugin-basierter Server Agent , welcher beim Sammeln und Versenden von Softwaremetriken unterstützt;Forschung/Lehre, Industrie, Dienstleistung;influxdata;Simulation, Optimierung, Planung;Planung;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;Go;;;Framework/Bibliothek;technisch;Komponente, Anlage;2023-10-23;open-source;;;Die Erstellung der Metriken besteht aus einem 4 stufigen Prozess. Dieser unterteilt sich in Input, Verarbeitung, Aggregation und Ausgabe.;Prometheus ;['03ET1632'];1;;2015;5;;;Telegraf_Logo.png
Tensorflow;https://www.tensorflow.org;TensorFlow ist ein Framework zur datenstromorientierten Programmierung. Populäre Anwendung findet TensorFlow im Bereich des maschinellen Lernens.;Forschung/Lehre, Industrie, Dienstleistung;Google;Monitoring, Planung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;C++;;;Framework/Bibliothek;technisch;Komponente, Anlage;2023-09-01;open-source;Apache-2.0;;Entwickelt vom Google-Brain-Team. Wird in verschiedenen Google-Produkten eingesetzt;MATLAB, Vertex AI;['03EN6003'];1;;2017;5;;;TensorFlow_logo.png
TRNSYS;https://trnsys.de/;TRNSYS (abgekürzt: TRaNsient SYstems Simulation) ist eine flexible, grafisch basierte, modulare Softwareumgebung, die es ermöglicht, das Verhalten transienter Systeme zu simulieren, daher der Name. ;Forschung/Lehre, Industrie, Dienstleistung;TRNSYS;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude;laufend;kostenpflichtig;;Kostenpflichtig, günstiger für Hochschulen, Source-Code wird nach Erwerb zur Verfügung gestellt. Eine kostenlose Testversion mit begrenztem Funktionsumfang kann auf der Herstellerseite heruntergeladen werden.;;;['03ET1605', '03ET1641', '03EN1025', '03ET1636', '03EN3018A', '03ET1552A'];1;;;5;;;trysnysy_logo.png
WPSOURCE;https://www.ki-portal.de/wp-content/uploads/2017/04/KI_4_2017_044.pdf;WPsource bietet ein digitales Pre-Check-Tool, welches Planern und Architekten eine Vorauswahl und Bewertung von Wärmequellen und Wärmetauschern ermöglicht. ;Forschung/Lehre, Dienstleistung;Steinbeis Innovationszentrum;Monitoring, Planung;Vorplanung;Baufachleute, Ingenieur:innen;Sonstiges;Plugin für Excel;;;;digitale Anwendung;technisch;Gebäude, Quartier/Netze;2023-03-07;freeware;;Das Tool kann kostenfrei bezogen werden. Dazu kann eine E-Mail an franziska.bockelmann@siz-energieplus.de geschrieben werden.;;;['03ET1605'];1;;unbekannt;;;;wpsource.png
WUFI Plus;https://wufi.de/de/software/wufi-plus;WUFI (Wärme Und Feuchte Instationär) ist eine Software-Familie zur realitätsnahen instationären Berechnung Wärme- und Feuchtetransports in mehrschichtigen Bauteilen und Gebäuden unter natürlichen Klimabedingungen. ;Forschung/Lehre, Industrie, Dienstleistung;Fraunhofer Institut für Bauphysik IBP;Simulation, Optimierung, Planung;Planung, Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Gebäude;2023-10-16;kostenpflichtig;;;WUFI Plus ist das umfassendste Wärme- und Feuchtesimulationstool der WUFI-Softwarefamilie;;['03ET1612'];1;;;5;;;wufiPlus.png
SusI-Tool;https://sustainable-startups.de/susi/;Das Sustainability & Impact Assessment soll insbesondere Startups dabei unterstützen ihr Geschäftsmodell auf Nachhaltigkeit anhand bestehender Normen und Methoden zu prüfen und diese für die Kommunikation an Stakeholder einheitlich aufzubereiten.;Industrie;Bundesverband Deutsche Startups e.V.;Monitoring, Optimierung, Planung;Planung, Betrieb;Endnutzer:innen;webbasierte Benutzeroberfläche;Grafisches Tool, um die Nachahltigkeit eines Startups zu analysieren ;;;;digitale Anwendung;betrieblich;Gebäude, Anlage, Komponente;unbekannt;freeware;;;;;[];1;;unbekannt;5;;;susi.png
RKW-Digitalisierungs-Cockpit;https://app.digitalisierungs-cockpit.de/;Das Cockpit soll eine erste Orientierungshilfe zum Thema Digitalisierung im Unternehmen anbieten. Es besteht aus einer beständig wachsenden Sammlung von Unternehmensbeispielen aus unterschiedlichen Branchen mit konkreten Anhaltspunkten und Denkanstößen für eine Digitalisierungsstrategie. ;Industrie;RKW Rationalisierungs- und Innovationszentrum der Deutschen Wirtschaft e. V.;Optimierung, Planung;Vorplanung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;Anlage, Gebäude, Quartier/Netze;unbekannt;freeware;;;;;[];1;;2019;5;;;digitalisierungsCockpit.png
"Toolbox ""Geschäftsmodellentwicklung im Mittelstand""";https://www.rkw-kompetenzzentrum.de/innovation/blog/2020/toolbox-geschaeftsmodellentwicklung-im-mittelstand/;"Die Toolbox ""Geschäftsmodellentwicklung im Mittelstand"" enthält eine Sammlung von Tools, die einen Geschäftsmodellentwicklungsprozess bereichern können. Zu jedem Tool gibt es eine Anleitung in PDF Format sowie eine Wordvorlage zum Anpassen und Ausdrucken. ";Industrie;RKW Rationalisierungs- und Innovationszentrum der Deutschen Wirtschaft e. V.;Planung;Planung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;unbekannt;freeware;;;;;[];1;;2020;5;;;GeschäftsmodellentwicklungimMittelstand.png
Ecosystem Participation Navigator (EPN);http://www.businessmodel-generator.de/;Der EPN unterstützt Unternehmen zunächst bei der Positionierung in einem digitalen Ökosystem. Darüber hinaus bietet das Tool Hilfestellungen zur Identifikation von passenden Geschäftsmodellmustern, die schließlich zu einem spezifischen Geschäftsmodell kombiniert werden können. ;Industrie;Fraunhofer-Institut für Arbeitswirtschaft und Organisation IAO;Planung;Planung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;;unbekannt;freeware;;;;;[];1;;unbekannt;5;;;epn.png
BIEC-Phasenmodell;https://www.biec-tools.iao.fraunhofer.de/biec-phasenmodell/;Das BIEC-Phasenmodell hilft in fünf Schritten bei der Entwicklung von Geschäftsmodellinnovationen. Dabei werden für jeden Schritt Tools und Methoden angeboten, die online und offline beim Prozess unterstützen können.;Industrie;Fraunhofer-Institut für Arbeitswirtschaft und Organisation IAO;Planung, Optimierung;Planung, Betrieb;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;Standard;betrieblich;;unbekannt;freeware;;;;;[];1;;unbekannt;5;;;biec.png
BIEC-Canvas;https://www.biec-tools.iao.fraunhofer.de/elemente-digitaler-geschaeftsmodelle/;Das BIEC-Canvas unterstützt anhand von Leitfragen die Ausarbeitung eines Business Modell Canvas speziell für digitale Geschäftsmodelle. Die Unterlagen können als PDF runtergeladen oder sofort online genutzt werden.;Industrie;Fraunhofer-Institut für Arbeitswirtschaft und Organisation IAO;Planung;Vorplanung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;Standard;betrieblich;;unbekannt;freeware;;;;;[];1;;unbekannt;5;;;biecCanvas.png
KI-Navigator;https://www.biec-tools.iao.fraunhofer.de/ki-navigator/;Der KI-Navigator zeigt anhand von Beispielen, welche Aufgaben die Künstliche Intelligenz in der Dienstleistungsentwicklung und im Dienstleistungsmanagement übernehmen kann. Für jede Phase des Dienstleistungslebenszyklus sind typische Aktivitäten aufgelistet, zu denen – sofern vorhanden – am Markt verfügbare KI-Lösungen und Praxisbeispiele hinterlegt sind. ;Industrie, Dienstleistung;Fraunhofer-Institut für Arbeitswirtschaft und Organisation IAO;Planung;Umsetzung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;;unbekannt;freeware;;;;;[];1;;unbekannt;;;;kiNavigator.png
ACCEPTMISSION;https://www.acceptmission.com/;Accept Mission ist eine Ideen- und Innovationsmanagement-Software zum Sammeln von Ideen, Auswählen von Ideen, Ausführen von Innovationsprojekten und Berichten über den Fortschritt. AcceptMission ist eine cloudbasierte Lösung, die den gesamten Lebenszyklus von Innovationsprojekten auf einer einheitlichen Plattform verwalten soll.;Forschung/Lehre, Industrie;ACCEPTMISSION;Planung, Optimierung;Vorplanung, Planung, Umsetzung;Endnutzer:innen;grafische Benutzeroberfläche;Software, cloudbasiert;;;;digitale Anwendung;betrieblich;;laufend;kostenpflichtig;;;;;[];1;;unbekannt;5;;;acceptMission.png
ITONICS Innovation OS;https://www.itonics-innovation.de/enterprise;ITONICS Innovation OS soll jede Phase des Innovationprozesses managen. Die Innovationsmanagement-Software kann individuell für Teams und Unternehmen angepasst werden, in bestehende Prozesse integriert werden und die Innovation unternehmensweit verankern.;Forschung/Lehre, Industrie;ITONICS;Planung, Optimierung, Visualisierung;Vorplanung, Planung, Umsetzung;Endnutzer:innen;grafische Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;;laufend;kostenpflichtig;;;;;[];1;;unbekannt;5;;;itonics.png
IdeaCheck;https://ideacheck.io/;IdeaCheck soll einen professionellen, wissenschaftlich validierten Fragebogen aus der Produktidee heraus generieren. Es wird eine demographisch passende Zielgruppe für die Idee befragt. IdeaCheck erstellt ein ausgewogenes, unvoreingenommenes Ergebnis, sowie eine Bewertung der Idee, inklusive Kommentaren von Umfrageteilnehmenden. ;Forschung/Lehre, Industrie;IdeaCheck ;Planung;Vorplanung;Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;betrieblich;;unbekannt;kostenpflichtig;;;;;[];1;;2016;5;;;ideaCheck.png
Business Model Canvas;https://canvanizer.com/;Der Business Model Canvas (BMC) dient zur Visualisierung von Geschäftsmodellen und soll dabei helfen, innovative Geschäftsmodelle zu entwickeln oder bestehende Geschäftsmodelle zu verändern. Im Mittelpunkt steht dabei die Geschäftslogik eines Unternehmens oder Angebots.;Industrie;Canvanizer (digital);Planung;Vorplanung, Planung;;webbasierte Benutzeroberfläche;;;;;Standard;betrieblich;;unbekannt;freeware;;;;;[];1;;2005;5;;;businessModelCanvas.png
